Serial_number:,,,,,
2000706,,,,,
Project ID:,,,,,
ESC,,,,,
Location:,,,,,
EDC 50,,,,,
Elevation,Elevation of #153,,,,
560,396,,,,
LEVEL,,,,,
UNIT: kPa,,,,,
Offset: 0.000000 kPa,,,,,
TEMPERATURE,,,,,
UNIT: _C,,,,,
Date,Time,ms,LEVEL,TEMPERATURE,kpa_ft
12/22/2013,12:16:50,0,101.708,16.143,0.698533308
12/22/2013,12:31:50,0,101.703,16.138,0.696963595
12/22/2013,12:46:50,0,101.698,16.135,0.695393883
12/22/2013,13:01:50,0,101.686,16.133,0.691626572
12/22/2013,13:16:50,0,101.671,16.133,0.686917433
12/22/2013,13:31:50,0,101.666,16.135,0.68534772
12/22/2013,13:46:50,0,101.662,16.14,0.68409195
12/22/2013,14:01:50,0,101.657,16.146,0.682522237
12/22/2013,14:16:50,0,101.662,16.157,0.68409195
12/22/2013,14:31:50,0,101.658,16.168,0.682836179
12/22/2013,14:46:50,0,101.648,16.182,0.679696754
12/22/2013,15:01:50,0,101.652,16.198,0.680952524
12/22/2013,15:16:50,0,101.659,16.216,0.683150122
12/22/2013,15:31:50,0,101.662,16.236,0.68409195
12/22/2013,15:46:50,0,101.669,16.256,0.686289548
12/22/2013,16:01:50,0,101.678,16.277,0.689115031
12/22/2013,16:16:50,0,101.686,16.299,0.691626572
12/22/2013,16:31:50,0,101.696,16.321,0.694765997
12/22/2013,16:46:50,0,101.721,16.343,0.702614562
12/22/2013,17:01:50,0,101.729,16.364,0.705126102
12/22/2013,17:16:50,0,101.741,16.385,0.708893413
12/22/2013,17:31:50,0,101.754,16.406,0.712974667
12/22/2013,17:46:50,0,101.769,16.426,0.717683806
12/22/2013,18:01:50,0,101.795,16.445,0.725846313
12/22/2013,18:16:50,0,101.816,16.465,0.732439107
12/22/2013,18:31:50,0,101.829,16.482,0.73652036
12/22/2013,18:46:50,0,101.848,16.499,0.742485269
12/22/2013,19:01:50,0,101.866,16.516,0.748136236
12/22/2013,19:16:50,0,101.875,16.53,0.750961719
12/22/2013,19:31:50,0,101.885,16.544,0.754101145
12/22/2013,19:46:50,0,101.9,16.556,0.758810283
12/22/2013,20:01:50,0,101.904,16.566,0.760066054
12/22/2013,20:16:50,0,101.914,16.575,0.763205479
12/22/2013,20:31:50,0,101.909,16.583,0.761635767
12/22/2013,20:46:50,0,101.91,16.589,0.761949709
12/22/2013,21:01:50,0,101.915,16.594,0.763519422
12/22/2013,21:16:50,0,101.933,16.597,0.769170388
12/22/2013,21:31:50,0,101.939,16.599,0.771054044
12/22/2013,21:46:50,0,101.942,16.6,0.771995872
12/22/2013,22:01:50,0,101.949,16.599,0.77419347
12/22/2013,22:16:50,0,101.955,16.597,0.776077125
12/22/2013,22:31:50,0,101.961,16.594,0.777960781
12/22/2013,22:46:50,0,101.968,16.592,0.780158379
12/22/2013,23:01:50,0,101.953,16.586,0.77544924
12/22/2013,23:16:50,0,101.957,16.58,0.77670501
12/22/2013,23:31:50,0,101.951,16.573,0.774821355
12/22/2013,23:46:50,0,101.945,16.564,0.772937699
12/23/2013,0:01:50,0,101.967,16.554,0.779844436
12/23/2013,0:16:50,0,101.95,16.544,0.774507412
12/23/2013,0:31:50,0,101.952,16.533,0.775135297
12/23/2013,0:46:50,0,101.958,16.52,0.777018953
12/23/2013,1:01:50,0,101.969,16.506,0.780472321
12/23/2013,1:16:50,0,101.97,16.493,0.780786264
12/23/2013,1:31:50,0,101.969,16.476,0.780472321
12/23/2013,1:46:50,0,101.975,16.461,0.782355977
12/23/2013,2:01:50,0,101.978,16.445,0.783297804
12/23/2013,2:16:50,0,101.974,16.427,0.782042034
12/23/2013,2:31:50,0,101.97,16.408,0.780786264
12/23/2013,2:46:50,0,101.981,16.389,0.784239632
12/23/2013,3:01:50,0,101.98,16.37,0.78392569
12/23/2013,3:16:50,0,101.973,16.349,0.781728092
12/23/2013,3:31:50,0,101.975,16.327,0.782355977
12/23/2013,3:46:50,0,101.972,16.305,0.781414149
12/23/2013,4:01:50,0,101.961,16.282,0.777960781
12/23/2013,4:16:50,0,101.961,16.257,0.777960781
12/23/2013,4:31:50,0,101.962,16.232,0.778274723
12/23/2013,4:46:50,0,101.959,16.208,0.777332895
12/23/2013,5:01:50,0,101.97,16.182,0.780786264
12/23/2013,5:16:50,0,101.966,16.156,0.779530494
12/23/2013,5:31:50,0,101.977,16.131,0.782983862
12/23/2013,5:46:50,0,101.979,16.105,0.783611747
12/23/2013,6:01:50,0,101.987,16.079,0.786123288
12/23/2013,6:16:50,0,101.997,16.052,0.789262713
12/23/2013,6:31:50,0,102,16.025,0.790204541
12/23/2013,6:46:50,0,102.007,15.997,0.792402139
