Serial_number:,,,,,,
2016717,,,,,,
Project ID:,,,,,,
ESC,,,,,,
Location:,,,,,,
EDC 20,,,,,,
Elevation,Elevation of #153,,,,,
47,396,,,,,
LEVEL,,,,,,
UNIT: kPa,,,,,,
Offset: 0.000000 kPa,,,,,,
TEMPERATURE,,,,,,
UNIT: _C,,,,,,^1.4494*14.164
Date,Time,ms,LEVEL,TEMPERATURE,FEET,NewDepth
12/22/2013,23:37:14,0,102,17.6,-2.800550206,#NUM!
12/22/2013,23:52:14,0,102,17.6,-2.800550206,#NUM!
12/23/2013,0:07:14,0,102,17.6,-2.800550206,#NUM!
12/23/2013,0:22:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,0:37:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,0:52:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,1:07:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,1:22:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,1:37:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,1:52:14,0,102,17.5,-2.800550206,#NUM!
12/23/2013,2:07:14,0,102,17.4,-2.800550206,#NUM!
12/23/2013,2:22:14,0,102,17.4,-2.800550206,#NUM!
12/23/2013,2:37:14,0,102,17.4,-2.800550206,#NUM!
12/23/2013,2:52:14,0,102,17.4,-2.800550206,#NUM!
12/23/2013,3:07:14,0,102,17.4,-2.800550206,#NUM!
12/23/2013,3:22:14,0,102,17.3,-2.800550206,#NUM!
12/23/2013,3:37:14,0,102,17.3,-2.800550206,#NUM!
12/23/2013,3:52:14,0,102,17.3,-2.800550206,#NUM!
12/23/2013,4:07:14,0,102,17.3,-2.800550206,#NUM!
12/23/2013,4:22:14,0,102,17.3,-2.800550206,#NUM!
12/23/2013,4:37:14,0,102,17.2,-2.800550206,#NUM!
12/23/2013,4:52:14,0,102,17.2,-2.800550206,#NUM!
12/23/2013,5:07:14,0,102,17.2,-2.800550206,#NUM!
12/23/2013,5:22:14,0,102,17.2,-2.800550206,#NUM!
12/23/2013,5:37:14,0,102,17.1,-2.800550206,#NUM!
12/23/2013,5:52:14,0,102,17.1,-2.800550206,#NUM!
12/23/2013,6:07:14,0,102,17.1,-2.800550206,#NUM!
12/23/2013,6:22:14,0,102,17.1,-2.800550206,#NUM!
12/23/2013,6:37:14,0,102,17,-2.800550206,#NUM!
12/23/2013,6:52:14,0,102,17,-2.800550206,#NUM!
12/23/2013,7:07:14,0,102,17,-2.800550206,#NUM!
12/23/2013,7:22:14,0,102,16.9,-2.800550206,#NUM!
